"id","first_option","first_link","second_option","second_link","probability"
"gaatjeszwammen6","Hoed opvallend concentrisch gezoneerd. Hoeden niet of nauwelijks met elkaar vergroeid. In naald- of loofbos, op voedselarm en humusarm zand","Coltricia perennis","Hoeden niet of weinig gezoneerd, vaak zijdelings met elkaar vergroeid. In loofbos, op meestal voedselrijke of humusrijke bodem","Coltricia confluens","1"
"gaatjeszwammen7","Poriën wittig, roze vlekkend. Hoed roze tot roodbruin, vaak roodachtig vlekkerig, soms met rode druppels","Abortiporus biennis","Poriën niet roze vlekkend. Hoed zonder roze of rode tinten","gaatjeszwammen8","1"
"gaatjeszwammen8","Steel tenminste aan de basis bruin of bruinzwart, soms over de gehele lengte. Hoedrand niet gewimperd","gaatjeszwammen9","Steel ook aan de basis niet bruin tot zwart. Hoedrand gewimperd","gaatjeszwammen11","1"
"gaatjeszwammen9","Hoed tot 30 cm in doorsnede, met grote aangedrukte bruine schubben","Polyporus squamosus","Hoed tot hoogstens 15 cm in doorsnede, glad of met weinig contrasterende schubben","gaatjeszwammen10","1"
"gaatjeszwammen10","Hoed dof, geelbruin, fijn radiair-vezelig. Steel over vrijwel de hele lengte zwart","Polyporus varius","Hoed glanzend, jong licht grijsbruin, later donker roodbruin, vrijwel glad. Steel alleen aan de basis zwart, wittig in de bovenste helft","Polyporus badius","1"
"gaatjeszwammen11","Poriën langgerekt, meer dan 1 mm lang. Hoed bleekgeel met donkerder schubjes","Polyporus tuberaster","Poriën rond tot iets langwerpig, minder dan 1 mm lang. Hoed grijsbruin, zonder schubjes","gaatjeszwammen12","1"
"gaatjeszwammen12","Poriën rond, zeer klein, 5-7 per mm. Paddenstoel in voorjaar en zomer groeiend","Polyporus ciliatus","Poriën hoekig tot iets langwerpig (vooral rond de steelaanhechting), duidelijk groter, 2-4 per mm. Paddenstoel in (late) herfst en winter groeiend","Polyporus brumalis","1"
"gaatjeszwammen13","Paddenstoel met zijdelingse steel, of aan de rand steelvormig uitgetrokken","gaatjeszwammen14","Paddenstoel ongesteeld","gaatjeszwammen20","1"
"gaatjeszwammen14","Hoed en steel glanzend, gelakt, oranjebruin tot roodbruin","Ganoderma lucidum","Hoed en steel dof, niet gelakt","gaatjeszwammen15","1"
"gaatjeszwammen15","Paddenstoel geelbruin tot bruin, dof, bij jonge exemplaren met heldergele rand. Poriën met dezelfde kleur, vaak onregelmatig. Op naaldhout of op in de grond begraven wortels van naaldbomen, vooral Douglasspar","Phaeolus schweinitzii","Paddenstoel met andere kleuren. Poriën met andere kleur. Op loofhout","gaatjeszwammen16","1"
"gaatjeszwammen16","Steel met vrijwel zwarte basis of over de gehele lengte zwart","gaatjeszwammen9","Steel niet met zwarte basis; steel soms onduidelijk","gaatjeszwammen17","1"
"gaatjeszwammen17","Op berkenhout, vaak op staande berken op enige afstand van de bodem (na afbreken ook op stammen die op de grond liggen). Hoedrand ingerold. Hoedbedekking papierachtig, gemakkelijk van hoedvlees te scheiden","Piptoporus betulinus","Niet op berkenstammen. Hoedbedekking niet papierachtig","gaatjeszwammen18","1"
"gaatjeszwammen18","Paddenstoel met een groot aantal hoedjes die vanuit een gemeenschappelijke basis ontspringen. Aan de voet van levende eiken","Grifola frondosa","Paddenstoel niet vanuit een gemeenschappelijke basis ontspringend, met een klein tot groot aantal hoedjes","gaatjeszwammen18","1"
"gaatjeszwammen19","Paddenstoel (zeer) groot, tot 100 cm doorsnede. Hoed geelbruin, gezoneerd. Poriënlaag zeer dun, poriën geel, bij druk bruin wordend","Meripilus giganteus","Paddenstoel aanmerkelijk kleiner, tot hoogstens 15 cm doorsnede. Hoed rozebruin tot roodbruin, vaak roodachtig vlekkend, niet gezoneerd. Poriënlaag vrij dik, ongelijk lang en vaak scheef eindigend, poriën wittig, grauw-roze vlekkend","Abortiporus biennis","1"
"gaatjeszwammen20","Vruchtlichaam met afstaande hoedjes (pileaat), deze tenminste 10 mm van substraat afstaand","gaatjeszwammen21","Vruchtlichaam als een laag van poriën op het substraat liggend (resupinaat), in het geheel niet afstaand of nauwelijks (minder dan 10 mm) afstaand (in twijfelgevallen eerst het eerste alternatief raadplegen)","gaatjeszwammen80","1"
"gaatjeszwammen21","Gehele paddenstoel opvallend zwavelgeel tot oranje","Laetiporus sulphureus","Gehele paddenstoel niet opvallend zwavelgeel","gaatjeszwammen22","1"
"gaatjeszwammen22","Gehele paddenstoel helder oranjerood","Pycnoporus cinnabarinus","Gehele paddenstoel niet helder rood gekleurd (maar soms poriën oranjerood)","gaatjeszwammen23","1"
"gaatjeszwammen23","Paddenstoel aan de onderzijde met plaatjesachtige structuur","gaatjeszwammen24","Paddenstoel aan de onderzijde met ronde, elliptische of hoogstens iets langwerpige poriën","gaatjeszwammen28","1"
"gaatjeszwammen24",'Plaatjes bruin. Vruchtlichaam met loog zwart wordend. Op naaldhout of loofhout","gaatjeszwammen25","Plaatjes wittig of licht houtkleurig. Vruchtlichaam met loog niet zwart wordend. Op loofhout","gaatjeszwammen26","1"
"gaatjeszwammen25","Plaatjes duidelijk ontwikkeld. Hoed behaard, concentrisch gezoneerd in verschillende bruintinten, maar groeirand geelbruin. Op naaldhout","Gloeophyllum sepiarium","Plaatjes meer doolhofachtig, variërend van bijna ronde tot zeer langgerekte poriën. Hoed (vrijwel) kaal, eenkleurig, grijsbruin. Meestal op loofhout, soms op naaldhout","Gloeophyllum trabeum","1"
"gaatjeszwammen26","Plaatjes dik, doolhofachtig. Op eikenhout, bruinrot veroorzakend","Daedalea quercina","Plaatjes dunner. Op hout van (meestal) andere bomen, witrot veroorzakend","gaatjeszwammen27","1"
"gaatjeszwammen27","Vlees wit. Plaatjes duidelijk ontwikkeld, niet verkleurend. Op droge, zonnige standplaatsen, vaak op berkenhout","Lenzites betulinus","Vlees lichtbruin. Plaatjes onregelmatiger, bij beschadiging roodachtig verkleurend. Meestal op vochtige standplaatsen","Daedaleopsis confragosa","1"
"gaatjeszwammen28","Hoedbedekking papierachtig, lichtbruin, gemakkelijk van hoedvlees te scheiden. Hoedrand ingerold. Poriën wit. Uitsluitend op berk","Piptoporus betulinus","Hoedbedekking niet papierachtig. Hoedrand niet ingerold","gaatjeszwammen29","1"
"gaatjeszwammen29","Hoed met duidelijke scheiding tussen vlees en harde, soms harsachtig-kleverige korst","gaatjeszwammen30","Hoed zonder harde korst","gaatjeszwammen45"
"gaatjeszwammen30",
"gaatjeszwammen31",
"gaatjeszwammen32",
"gaatjeszwammen33",
"gaatjeszwammen34",
"gaatjeszwammen35",
"gaatjeszwammen36",
"gaatjeszwammen37",
"gaatjeszwammen38",
"gaatjeszwammen39",
"gaatjeszwammen40",
"gaatjeszwammen41",
"gaatjeszwammen42",
"gaatjeszwammen43",
"gaatjeszwammen44",
"gaatjeszwammen45",
"gaatjeszwammen46",
"gaatjeszwammen47",
"gaatjeszwammen48",
"gaatjeszwammen49",
"gaatjeszwammen40",
"gaatjeszwammen41",
"gaatjeszwammen42",
"gaatjeszwammen43",
"gaatjeszwammen44",
"gaatjeszwammen45",
"gaatjeszwammen46",
"gaatjeszwammen47",
"gaatjeszwammen48",
"gaatjeszwammen49",
"gaatjeszwammen50",
"gaatjeszwammen51",
"gaatjeszwammen52",
"gaatjeszwammen53",
"gaatjeszwammen54",
"gaatjeszwammen55",
"gaatjeszwammen56",
"gaatjeszwammen57",
"gaatjeszwammen58",
"gaatjeszwammen59",
"gaatjeszwammen60",
"gaatjeszwammen61",
"gaatjeszwammen62",
"gaatjeszwammen63",
"gaatjeszwammen64",
"gaatjeszwammen65",
"gaatjeszwammen66",
"gaatjeszwammen67",
"gaatjeszwammen68",
"gaatjeszwammen69",
"gaatjeszwammen70",
"gaatjeszwammen71",
"gaatjeszwammen72",
"gaatjeszwammen73",
"gaatjeszwammen74",
"gaatjeszwammen75",
"gaatjeszwammen76",
"gaatjeszwammen77",
"gaatjeszwammen78",
"gaatjeszwammen79",
"gaatjeszwammen80",
"gaatjeszwammen81",
"gaatjeszwammen82",
"gaatjeszwammen83",
"gaatjeszwammen84",
"gaatjeszwammen85",
"gaatjeszwammen86",
"gaatjeszwammen87",
"gaatjeszwammen88",
"gaatjeszwammen89",
