"id","short-name","url","lifeUrl","OToLId","waarnemingId"
"Cortinarius incisus-groep","Cortinarius incisus","http://www.wikidata.org/entity/Q10460121","1017298","697122","15577"
"Cortinarius infractus","Cortinarius infractus","http://www.wikidata.org/entity/Q11023677","188024","974129","13661"
"Cortinarius largus","Cortinarius largus","http://www.wikidata.org/entity/Q10570865","188363","448653","673055"
"Cortinarius miraculosus","Cortinarius miraculosus","http://www.wikidata.org/entity/Q80999887","6709833","3812814","15500"
"Cortinarius obtusus-groep","Cortinarius obtusus","http://www.wikidata.org/entity/Q10540297","1029620","893281","13626"
"Cortinarius paleaceus ss. lato","Cortinarius paleaceus","http://www.wikidata.org/entity/Q11887243","10406647","949868","15196"
"Cortinarius parvannulatus","Cortinarius parvannulatus","http://www.wikidata.org/entity/Q10548461","190452","174131","13866"
"Cortinarius purpurascens","Cortinarius purpurascens","http://www.wikidata.org/entity/Q2998122","996648","605409","14065"
"Cortinarius rubellus","Cortinarius rubellus","https://www.wikidata.org/wiki/Q944328","1028741","324707","673064"
"Cortinarius saniosus","Cortinarius saniosus","http://www.wikidata.org/entity/Q10510729","995209","760831","15007"
"Cortinarius saturninus","Cortinarius saturninus","http://www.wikidata.org/entity/Q10687988","1030196","453653","597731"
"Cortinarius semisanguineus","Cortinarius semisanguineus","http://www.wikidata.org/entity/Q2475465","190550","825115","14779"
"Cortinarius subbalaustinus","Cortinarius subbalaustinus","http://www.wikidata.org/entity/Q10546532","152744","666158","15495"
"Cortinarius trivialis","Cortinarius trivialis","http://www.wikidata.org/entity/Q2566605","1005161","324704","15153"
"Cortinarius uliginosus","Cortinarius uliginosus","http://www.wikidata.org/entity/Q11838334","188950","324706","15370"
"Cortinarius umbrinolens","Cortinarius umbrinolens","http://www.wikidata.org/entity/Q10540879","302070","697128","14984"
"Cortinarius urbicus","Cortinarius urbicus","http://www.wikidata.org/entity/Q10667934","188968","825108","15016"
"Cortinarius vernus","Cortinarius vernus","http://www.wikidata.org/entity/Q10673616","1016300","380754","552812"
